"全能的上帝，萬恩的父，"                                   ,"congregation","hangingIndent"
"將恩惠慈愛賜給我們，以及萬民；"                           ,"congregation","indent"
"我們不配的僕人，特此恭敬虔誠向主感謝。"                   ,"congregation","indent"
"我們稱謝主：創造我們，保全我們，賜福我們。"               ,"congregation","hangingIndent"
"又特別稱謝主：因為主施無窮的仁愛，"                       ,"congregation","indent"
"靠我主耶穌基督救贖世人；"                                 ,"congregation","indent"
"施與恩典，並賜我們榮耀的盼望。"                           ,"congregation","indent"
"藉賴我主耶穌基督祈求主，"                                 ,"congregation","hangingIndent"
"賜我們感恩的心，可以真誠感謝主，"                         ,"congregation","indent"
"不但口中讚美，亦在行事顯明，"                             ,"congregation","indent"
"將自己獻與主，在主面前作工，"                             ,"congregation","indent"
"一生聖潔公義；"                                           ,"congregation","indent"
"但願尊貴榮耀歸於聖父、聖子、聖靈，"                       ,"congregation","hangingIndent"
"永無窮盡。阿們。"                                         ,"congregation","indent"
