"全能至慈悲的天父，"                                     ,"congregation","hangingIndent",
"我們離開聖道，錯行如迷失的羊。"                         ,"congregation","indent"
"我們常任己意，常縱己慾；"                               ,"congregation","hangingIndent",
"違背天父的聖誡；"                                       ,"congregation","indent"
"當為者不為，不當為者反為；"                             ,"congregation","hangingIndent",
"遠離祢的恩典，我們便無力行善。"                         ,"congregation","hangingIndent",
"主啊，憐憫我們。"                                       ,"congregation","hangingIndent",
"認罪的，求主赦免；"                                     ,"congregation","hangingIndent",
"悔改的，求主按照主耶穌基督應許世人的恩，饒恕我們。"     ,"congregation","hangingIndent",
"又求至慈悲的父，因耶穌基督的緣故，"                     ,"congregation","hangingIndent",
"使我們以後尊奉天父，公義待人，安份守己，"               ,"congregation","indent"
"榮耀天父的聖名。阿們。"                                 ,"congregation","indent"
